title,link,price,district,time,promoted
Сдам двухкомнатную на Оболони.,https://www.olx.ua/obyavlenie/sdam-dvuhkomnatnuyu-na-oboloni-IDBm1HA.html#3215ac3469,"
8 000 грн.
","Киев, Оболонский",Сегодня 01:09, 
"Аренда, 2к-ная квартира, м Голосеевская ул Бурмистенко 7/11!",https://www.olx.ua/obyavlenie/arenda-2k-naya-kvartira-m-goloseevskaya-ul-burmistenko-7-11-IDBm4aE.html#3215ac3469,"
8 000 грн.
","Киев, Голосеевский",Сегодня 09:03, 
"Сдается 2-комнатная квартира на Китаевской, для семьи с ребенком.",https://www.olx.ua/obyavlenie/sdaetsya-2-komnatnaya-kvartira-na-kitaevskoy-dlya-semi-s-rebenkom-IDBioH9.html#3215ac3469,"
8 500 грн.
","Киев, Голосеевский",Сегодня 09:40, 
Сдам 2-х комнатную квартиру м Левобережная ул Вифлеемская (Шлихтера),https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-m-levoberezhnaya-ul-vifleemskaya-shlihtera-IDBj6nr.html#3215ac3469;promoted,"
7 000 грн.
","Киев, Днепровский",Сегодня 09:45,Yes
"Super price! Ул. Осиповского, 1. Новый дом с видом на парк.",https://www.olx.ua/obyavlenie/super-price-ul-osipovskogo-1-novyy-dom-s-vidom-na-park-IDBm6y8.html#3215ac3469,"
7 990 грн.
","Киев, Подольский",Сегодня 10:27, 
пр.Голосеевский 118.Метро Васильковская 15 мин пешком.2-ком.,https://www.olx.ua/obyavlenie/pr-goloseevskiy-118-metro-vasilkovskaya-15-min-peshkom-2-kom-IDBm6Id.html#3215ac3469,"
8 000 грн.
","Киев, Голосеевский",Сегодня 10:39, 
2-ком Лесной улШолом-Алейхема18,https://www.olx.ua/obyavlenie/2-kom-lesnoy-ulsholom-aleyhema18-IDBm8rX.html#3215ac3469,"
7 500 грн.
","Киев, Днепровский",Сегодня 11:27, 
"2 комнатная(ремонт),Воскресенка,Перова ТРЦ Квадрат",https://www.olx.ua/obyavlenie/2-komnatnayaremont-voskresenka-perova-trts-kvadrat-IDBm8YA.html#3215ac3469,"
9 000 грн.
","Киев, Днепровский",Сегодня 11:32, 
"Первая сдача ул.Гарматная,рядом НАУ метрo 10 мин Шулявская",https://www.olx.ua/obyavlenie/pervaya-sdacha-ul-garmatnaya-ryadom-nau-metro-10-min-shulyavskaya-IDB7jqf.html#3215ac3469,"
9 000 грн.
","Киев, Соломенский",Сегодня 11:46, 
СДАМ 2.х комн.кв.7.500грн.СЕМЬЯМ С ДЕТ.метро Лесная-10мин.езды.,https://www.olx.ua/obyavlenie/sdam-2-h-komn-kv-7-500grn-semyam-s-det-metro-lesnaya-10min-ezdy-IDBkWxj.html#3215ac3469;promoted,"
7 500 грн.
","Киев, Деснянский",Сегодня 11:51,Yes
"2 комн. кв. на Позняках, ул. Ахматовой № 31 (метро 10 минут пешком)",https://www.olx.ua/obyavlenie/2-komn-kv-na-poznyakah-ul-ahmatovoy-31-metro-10-minut-peshkom-IDBmdD6.html#3215ac3469,"
9 000 грн.
","Киев, Дарницкий",Сегодня 13:38, 
"Сдам 2 Троещина, Сабурова, ТРЦ район Аренда левый",https://www.olx.ua/obyavlenie/sdam-2-troeschina-saburova-trts-rayon-arenda-levyy-IDASr86.html#3215ac3469,"
8 000 грн.
","Киев, Деснянский",Сегодня 13:40, 
"Сдается двухкомнатная квартира без мебели, евроремонт,Дарница",https://www.olx.ua/obyavlenie/sdaetsya-dvuhkomnatnaya-kvartira-bez-mebeli-evroremont-darnitsa-IDBe52Y.html#3215ac3469;promoted,"
8 000 грн.
","Киев, Дарницкий",Сегодня 14:02,Yes
Сдам двухкомнатную квартиру,https://www.olx.ua/obyavlenie/sdam-dvuhkomnatnuyu-kvartiru-IDBmhzU.html#3215ac3469,"
8 500 грн.
","Киев, Дарницкий",Сегодня 15:03, 
Сдам 2-х комнатную квартиру на Лесном массиве,https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-na-lesnom-massive-IDBiJ8Y.html#3215ac3469;promoted,"
9 000 грн.
","Киев, Деснянский",Сегодня 15:16,Yes
