price,district,link,title,time
7 000 грн.,"Киев, Днепровский",https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-m-levoberezhnaya-ul-vifleemskaya-shlihtera-IDBj6nr.html#5f4869cfef;promoted,Сдам 2-х комнатную квартиру м Левобережная ул Вифлеемская (Шлихтера),Сегодня 09:45
8 000 грн.,"Киев, Оболонский",https://www.olx.ua/obyavlenie/super-sdaetsya-m-obolon-25-min-ezdy-klassnaya-2h-komnatnaya-kvartira-IDBhpcv.html#5f4869cfef;promoted,Супер! Сдается М.Оболонь 25 мин.езды .КЛАССНАЯ 2х комнатная квартира!,Сегодня 16:43
7 000 грн.,"Киев, Голосеевский",https://www.olx.ua/obyavlenie/sdam-2-h-komn-kvartiru-m-teremki-12-min-peshkom-IDBlkNe.html#5f4869cfef,Сдам 2-х комн. квартиру м.Теремки 12 мин. пешком!,Сегодня 19:42
7 500 грн.,"Киев, Оболонский",https://www.olx.ua/obyavlenie/sdam-2h-komnatnuyu-kvartiru-v-kieve-IDBlhA9.html#5f4869cfef,Сдам 2х комнатную квартиру в Киеве,Сегодня 18:09
8 000 грн.,"Киев, Оболонский",https://www.olx.ua/obyavlenie/super-sdaetsya-m-obolon-25-min-ezdy-klassnaya-2h-komnatnaya-kvartira-IDBhpcv.html#5f4869cfef;promoted,Супер! Сдается М.Оболонь 25 мин.езды .КЛАССНАЯ 2х комнатная квартира!,Сегодня 16:43
7 000 грн.,"Киев, Соломенский",https://www.olx.ua/obyavlenie/novopolevaya-otradnyy-dvushka-IDBld6B.html#5f4869cfef,Новополевая Отрадный двушка,Сегодня 16:19
7 000 грн.,"Киев, Шевченковский",https://www.olx.ua/obyavlenie/sdam-kvartiru-IDBlcZG.html#5f4869cfef,сдам квартиру,Сегодня 16:16
8 000 грн.,"Киев, Днепровский",https://www.olx.ua/obyavlenie/srochno-metro-levoberezhnaya-darnitsa-15-minut-peshkom-2-ka-za-8000-gr-IDB1UAC.html#5f4869cfef;promoted,"Срочно! Метро Левобережная, Дарница 15 минут пешком !2-ка за 8000 гр",Сегодня 15:33
8 000 грн.,"Киев, Деснянский",https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-vozle-metro-lesnaya-IDBfLqq.html#5f4869cfef;promoted,Сдам 2 ком квартиру возле метро Лесная,Сегодня 15:22
8 000 грн.,"Киев, Святошинский",https://www.olx.ua/obyavlenie/sdam-uyutnuyu-dvuhkomnatnuyu-kvartiru-na-kurbasa-vozle-skorostnogo-IDBcunf.html#5f4869cfef,"Сдам уютную двухкомнатную квартиру на Курбаса, возле скоростного",Сегодня 15:19
7 000 грн.,"Киев, Святошинский",https://www.olx.ua/obyavlenie/sdam-2yu-kvart-metro-svyatoshin-7-min-kolibris-skorostnoy-tramvay-IDBla2y.html#5f4869cfef,"Сдам 2ю кварт., метро Святошин 7 мин, Колибрис, скоростной трамвай!",Сегодня 15:13
